Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Polygon zkEVM,Immunefi,1000000,0,0,"Solidity","L2,L1","Blockchain","BSC,Arbitrum","Blockchain/DLT",2023-05-07,8b0a912a711cc3e9d39a68b4af9790966e82744d52d1f62c959760d9bbb47aac
Alchemix,Immunefi,1000000,43605,3194,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-13,e1c8f5a20ef05b9f83372afae8654eef293c4c08d9c05fbbe1d71cf877bc1b36
Aura Finance,Immunefi,1000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract",2022-12-15,f0f8da15b0e91d2047b957154f104de0a8a19bc54c8b23faf57740d2c540ea72
Nomad,Immunefi,1000000,0,0,"Solidity","Crosschain Liquidity","Defi","ETH","Smart Contract",2023-02-03,f2a9727d45c822dbb19375eed2e8b89e5b56795ea7bfdd96a28e3477a9e4b95c
Aztec Network,Immunefi,1000000,0,0,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-04-29,eccd897e85ce709f76598c5cb4717dc317d3ace14eda6fa5a9719948a87dc692
Balancer,Immunefi,1000000,0,0,"Solidity","Asset Management,DEX,AMM","Defi","ETH","Smart Contract",2023-08-05,9de8aacd6cb96f533b01ba4d39c06ca9150651ecb27f65a1105b35f4c6c937f5
Stader for Polygon,Immunefi,1000000,0,0,"Rust","Staking,Crosschain Liquidity","Defi","ETH","Smart Contract",2023-06-15,f22cb968c2fa847c0e032335d86a3b5fe9629298a29eabedf922bf48ccb32a77
Nebula Protocol,Immunefi,1000000,0,0,"Rust","Asset Management","Defi","Terra","Smart Contract",2022-10-13,6c36dda5a2b418d534118e0c6cf521bbb5b27401422999b769285a39aae290d4
Hakka Finance,Immunefi,1000000,5500,1218,"Solidity","Stablecoin,DEX,AMM,Insurance","Defi","ETH,Fantom,Polygon,BSC","Smart Contract,Websites and Applications",2023-03-28,2f5766b04362ee479a0adeebc5635a1b28be6f92a090837a3382485d02317c18
Moonbeam Network,Immunefi,1000000,0,0,"Rust","L1","Blockchain","Polkadot","Websites and Applications,Blockchain/DLT",2022-10-21,834152ad15a1d983ed70666ad1cdd4bf63e12549dcfa2984905b37836d5b5719
